"start","p1","n1","p2","n2","p3","n3","p4","n4","p5","n5","p6","n6","p7","n7","p8","n8","p9","n9","p10","n10","p11","n11","p12","n12","p13","n13","p14","n14","p15","n15"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/date","October 2019"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/width","111"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/width","134"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/width","150"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/width","170"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/width","180"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/colwidth","22"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/small","yes"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/totalWidth","300"
"http://dbpedia.org/resource/Ərəş","http://dbpedia.org/ontology/country","http://dbpedia.org/resource/Azerbaijan","http://dbpedia.org/property/leaderName","http://dbpedia.org/resource/Ilham_Aliyev","http://dbpedia.org/property/title","http://dbpedia.org/resource/President_of_Azerbaijan","http://dbpedia.org/property/type","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_government","http://www.w3.org/2002/07/owl#differentFrom","http://dbpedia.org/resource/Head_of_state","http://dbpedia.org/property/footer","--05-05"
